scenario_id,feature,feature_korean,direction,log_sales_contribution,multiplicative_effect_pct
BRAND_ALPHA_HIGH_L,brand_id,브랜드 기본 수준,상승 요인,0.3857774170833369,44.064527120523735
BRAND_ALPHA_HIGH_L,same_brand_store_count_at_opening,동일 브랜드 기존점 수,상승 요인,0.1461262544124121,15.734229839890812
BRAND_ALPHA_HIGH_L,competition_density_index_at_opening,경쟁 밀도,하락 요인,-0.040301533098602405,-3.9500226990209386
BRAND_ALPHA_HIGH_L,area_demand_index_at_opening,상권 수요,상승 요인,0.03937915300549322,4.016479050064703
BRAND_ALPHA_HIGH_L,monthly_rent_won,월 임대료,하락 요인,-0.01975183212189328,-1.9558042681977361
BRAND_ALPHA_HIGH_M,brand_id,브랜드 기본 수준,상승 요인,0.3857774170833369,44.064527120523735
BRAND_ALPHA_HIGH_M,same_brand_store_count_at_opening,동일 브랜드 기존점 수,상승 요인,0.1461262544124121,15.734229839890812
BRAND_ALPHA_HIGH_M,competition_density_index_at_opening,경쟁 밀도,하락 요인,-0.040301533098602405,-3.9500226990209386
BRAND_ALPHA_HIGH_M,area_demand_index_at_opening,상권 수요,상승 요인,0.03937915300549322,4.016479050064703
BRAND_ALPHA_HIGH_M,monthly_rent_won,월 임대료,하락 요인,-0.008922017753847796,-0.8882334658901203
BRAND_ALPHA_HIGH_S,brand_id,브랜드 기본 수준,상승 요인,0.3857774170833369,44.064527120523735
BRAND_ALPHA_HIGH_S,same_brand_store_count_at_opening,동일 브랜드 기존점 수,상승 요인,0.1461262544124121,15.734229839890812
BRAND_ALPHA_HIGH_S,competition_density_index_at_opening,경쟁 밀도,하락 요인,-0.040301533098602405,-3.9500226990209386
BRAND_ALPHA_HIGH_S,area_demand_index_at_opening,상권 수요,상승 요인,0.03937915300549322,4.016479050064703
BRAND_ALPHA_HIGH_S,store_area_m2,점포 면적,하락 요인,-0.01279461719363829,-1.2713114049882068
BRAND_ALPHA_LOW_L,brand_id,브랜드 기본 수준,상승 요인,0.40994417160092894,46.7174970710623
BRAND_ALPHA_LOW_L,area_demand_index_at_opening,상권 수요,하락 요인,-0.28187350937347877,-24.56309008815879
BRAND_ALPHA_LOW_L,same_brand_store_count_at_opening,동일 브랜드 기존점 수,상승 요인,0.1461262544124121,15.734229839890812
BRAND_ALPHA_LOW_L,store_area_m2,점포 면적,상승 요인,0.029355819143639904,2.9790948626823743
BRAND_ALPHA_LOW_L,competition_density_index_at_opening,경쟁 밀도,상승 요인,0.017852312868446903,1.8012617923635732
BRAND_ALPHA_LOW_M,brand_id,브랜드 기본 수준,상승 요인,0.40994417160092894,46.7174970710623
BRAND_ALPHA_LOW_M,area_demand_index_at_opening,상권 수요,하락 요인,-0.28187350937347877,-24.56309008815879
BRAND_ALPHA_LOW_M,same_brand_store_count_at_opening,동일 브랜드 기존점 수,상승 요인,0.1461262544124121,15.734229839890812
BRAND_ALPHA_LOW_M,competition_density_index_at_opening,경쟁 밀도,상승 요인,0.017852312868446903,1.8012617923635732
BRAND_ALPHA_LOW_M,store_area_m2,점포 면적,상승 요인,0.015442830837610938,1.556268753049106
BRAND_ALPHA_LOW_S,brand_id,브랜드 기본 수준,상승 요인,0.40994417160092894,46.7174970710623
