area_id,area_name,area_demand_index,foot_traffic_index,competition_density_index,latitude,longitude
AREA_001,합성상권_001,1.0169286366810897,1.3358102038680528,0.1373495815088163,37.607390310354496,127.09997682786755
AREA_002,합성상권_002,0.8192096748179221,0.8586408072454702,0.3181318330495425,37.56428331588605,126.9518698704702
AREA_003,합성상권_003,2.2207120003661287,1.7968255245642348,0.06393687663093149,37.48547343775997,126.91957588386826
AREA_004,합성상권_004,0.8519347814192862,0.9322988932616654,0.7627229774109523,37.60861324629798,126.87977270087875
AREA_005,합성상권_005,1.1459110939297954,0.8855992386979803,0.46450537398046954,37.546135808475846,127.07322859276857
AREA_006,합성상권_006,0.7597661319506109,0.8453884569999012,1.1106082438720128,37.57024743660118,126.90709815333557
AREA_007,합성상권_007,0.5151754975615092,1.622802876901492,1.4474912179828914,37.47842386049753,126.95569343203566
AREA_008,합성상권_008,1.1803151069448432,1.2011548722524248,0.43200895878662693,37.462006882417036,127.0715643749164
AREA_009,합성상권_009,1.0412687751749685,1.9233023774667282,0.715529399901059,37.52471422569623,127.06918024321165
AREA_010,합성상권_010,1.2247059998882033,0.6351582021447723,1.779332297603149,37.52087583807066,126.97898768298496
AREA_011,합성상권_011,0.7468044476399891,0.7208294859464497,2.511642622425634,37.55015493037637,127.02547638736675
AREA_012,합성상권_012,1.333665375670148,0.8940141094087108,1.3001004110881917,37.59677965851666,127.07137249342041
AREA_013,합성상권_013,1.124603057341301,1.2800290258818816,0.5730304996108335,37.47993998245129,126.89910080778955
AREA_014,합성상권_014,1.613741114976738,0.6705673462391126,3.3198739943727515,37.54333655258918,126.91167056602013
AREA_015,합성상권_015,0.8082682112736418,1.3820738002053201,5.7938835660658885,37.505404706379856,127.00008850727087
AREA_016,합성상권_016,1.2913822082099806,0.9044973422106428,1.0504814716964352,37.464185861731934,126.87703014958944
AREA_017,합성상권_017,1.3324216939236133,0.852519868460939,1.8175652763784669,37.625437403437246,126.88062297447217
AREA_018,합성상권_018,2.268646601681348,1.469154384865704,0.9362090688494267,37.51648618556341,127.03113126878839
AREA_019,합성상권_019,0.6311867844686074,1.026335360812281,1.4047689649796236,37.630120645731346,127.00851103436348
AREA_020,합성상권_020,1.0052708955740963,1.3539486644223777,7.100521468754156,37.5147486579886,127.05541658790146
AREA_021,합성상권_021,0.6777807952742627,1.117003841428691,0.12495316489331454,37.52384714328103,126.92908363142968
AREA_022,합성상권_022,0.45058247669803686,2.113072366446954,0.2839177188005363,37.59167897250092,127.05909830794532
AREA_023,합성상권_023,1.4314858870816471,0.6910246110596916,4.814458802643894,37.5752628331583,127.00524091245052
AREA_024,합성상권_024,0.691523602966248,1.2231277036151722,3.3640967000365265,37.62497125605455,126.90138217416575
AREA_025,합성상권_025,0.6366573590091859,1.1604464663357632,3.5976258683767943,37.51548893770189,126.87725379114316
AREA_026,합성상권_026,0.725055734732007,1.2267330960472866,1.060710689230592,37.45981210990433,126.95082101979003
AREA_027,합성상권_027,0.7882537272420695,1.1219372001385997,2.5537897548534834,37.45749021390387,127.04573942816675
AREA_028,합성상권_028,0.7328934046418574,0.762256510060417,1.7854224606404914,37.48155595684162,126.94467511188691
