brand_id,brand_name,official_brand_url,official_menu_url,official_franchise_url,menu_source_type,source_checked_date,brand_description_text,store_format_evidence,special_location_evidence,manual_review_status,evidence_note,official_social_url,official_verification_status
BRD_20220253,곤트란쉐리에(Gontran Cherrier),https://www.gontran.co.kr/,https://www.gontran.co.kr/sub/sub03_01.php?cat_no=1,,,2026-09-09,,,,official_site,공식 홈페이지 주소 보정,,official_url_seeded_v2
BRD_20120100621,더베이크,https://thebake.co.kr/,https://thebake.co.kr/product.html,,,2026-09-09,,,,official_site,공식 상품 페이지,,official_url_seeded_v2
BRD_20080500016,던킨/던킨도너츠,https://www.dunkindonuts.co.kr/,https://www.dunkindonuts.co.kr/menu?cat=1,,,2026-09-09,,,,official_site,공식 브랜드·메뉴 페이지,,official_url_seeded_v2
BRD_20250749,디에그,,,,,2026-09-09,,,,official_social_only,"공식 소셜 채널: 브랜드 문맥만 활용, 가격 수집 제외",https://www.instagram.com/de_egg_official/,official_url_seeded_v2
BRD_20080100039,뚜레쥬르,https://m.tlj.co.kr/,https://m.tlj.co.kr/,,,2026-09-09,,,,official_site,공식 모바일 상품 페이지,,official_url_seeded_v2
BRD_20140306,롤링핀,https://rollingpin.co.kr/,https://rollingpin.co.kr/default/sub/menu/page01.php,,,2026-09-09,,,,official_site,공식 브랜드·메뉴 페이지,,official_url_seeded_v2
BRD_20161137,명랑시대쌀핫도그,https://myungranghotdog.com/,https://myungranghotdog.com/,,,2026-09-09,,,,official_site,공식 브랜드·메뉴 페이지,,official_url_seeded_v2
BRD_20150085,못난이꽈배기,https://monnanifood.com/,https://monnanifood.com/,,,2026-09-09,,,,official_site,국내 공식 브랜드 페이지,,official_url_seeded_v2
BRD_20240814,보리원,,,,,2026-09-09,,,,official_social_only,"공식 소셜 채널: 브랜드 문맥만 활용, 가격 수집 제외",https://www.instagram.com/borywon_official/,official_url_seeded_v2
BRD_20212010,복호두,https://bokhodu.com/,https://bokhodu.com/,,,2026-09-09,,,,official_site,공식 브랜드·메뉴 페이지,,official_url_seeded_v2
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),https://www.breadnco.kr/,https://www.breadnco.kr/,,,2026-09-09,,,,official_site,공식 브랜드 페이지,,official_url_seeded_v2
BRD_20260378,빵굼터,https://bbanggoomteo.com/,https://bbanggoomteo.com/,,,2026-09-09,,,,official_site,공식 온라인몰·브랜드 소개 페이지,,official_url_seeded_v2
BRD_20150052,빵장수단팥빵,,,,,2026-09-09,,,,official_social_only,"공식 소셜 채널: 브랜드 문맥만 활용, 가격 수집 제외",https://www.instagram.com/ppangjangsu/,official_url_seeded_v2
BRD_20211367,삼송빵집,https://www.ssbnc.kr/,https://www.ssbnc.kr/,,,2026-09-09,,,,official_site,공식 브랜드·상품 페이지,,official_url_seeded_v2
BRD_20230468,소림사,https://xn--4y2by0kfta.com/,https://xn--4y2by0kfta.com/,,,2026-09-09,,,,official_site,공식 브랜드 페이지,,official_url_seeded_v2
BRD_20140288,스트릿츄러스,https://www.streetchurros.com/,https://www.streetchurros.com/hm_board/menu/gallery.php?cate=menu1&code=hm_menu,,,2026-09-09,,,,official_site,공식 홈페이지 주소 보정,,official_url_seeded_v2
BRD_20160521,심봉사도로케,https://www.dorokke.co.kr/,https://www.dorokke.co.kr/,,,2026-09-09,,,,official_site,공식 브랜드·메뉴 안내 페이지,,official_url_seeded_v2
BRD_20240723,올드몬트베이글,https://www.oldmontbagel.com/,https://www.oldmontbagel.com/,,,2026-09-09,,,,official_site,공식 브랜드·상품 페이지,,official_url_seeded_v2
BRD_20140778,크리스피크림,https://www.lotteeatz.com/,https://www.lotteeatz.com/,,,2026-09-09,,,,official_ordering,공식 주문 플랫폼: 개별 메뉴 경로는 후속 수기 확인,,official_url_seeded_v2
BRD_20080200064,파리바게뜨,https://www.paris.co.kr/,https://www.paris.co.kr/products/,,,2026-09-09,,,,official_site,공식 브랜드·상품 페이지,,official_url_seeded_v2
BRD_20170827,핫브레드 ,https://hot-bread.com/,https://hot-bread.com/%EC%A0%9C%ED%92%88%EC%95%88%EB%82%B4/,,,2026-09-09,,,,official_site,공식 브랜드·제품 안내 페이지,,official_url_seeded_v2
BRD_20201275,호두당,https://xn--ok1bkz875e.com/,https://xn--ok1bkz875e.com/,,,2026-09-09,,,,official_site,공식 브랜드 페이지,,official_url_seeded_v2
BRD_20080100675,호밀호두,https://www.homilhodu.co.kr/,https://www.homilhodu.co.kr/product_cake.php,,,2026-09-09,,,,official_site,공식 브랜드·제품 페이지,,official_url_seeded_v2
BRD_20240478,화이트리에,https://www.whitelier.com/,https://www.whitelier.com/about,,,2026-09-09,,,,official_site,공식 브랜드·제품 소개 페이지,,official_url_seeded_v2
