brand_id,brand_name,query,search_rank,result_title,candidate_url,domain,official_verification_status,menu_price_usable,review_note
BRD_20220253,곤트란쉐리에(Gontran Cherrier),"""곤트란쉐리에(Gontran Cherrier)"" 공식 홈페이지 메뉴 가격",1,곤트란쉐리에(Gontran Cherrier) 창업 프랜차이즈 정보공개서 요약 2026.07.07 - 점포가이드,https://jumpo.shop/곤트란쉐리에gontran-cherrier-프랜차이즈-정보공개서-요약/,jumpo.shop,not_reviewed,not_reviewed,
BRD_20220253,곤트란쉐리에(Gontran Cherrier),"""곤트란쉐리에(Gontran Cherrier)"" 공식 홈페이지 메뉴 가격",2,곤트란쉐리에(Gontran Cherrier) 창업비용·가맹비·가맹점 현황 (2025 정보공개서),https://fchamall.com/franchise-info/곤트란쉐리에-gontran-cherrier,fchamall.com,not_reviewed,not_reviewed,
BRD_20220253,곤트란쉐리에(Gontran Cherrier),"""곤트란쉐리에(Gontran Cherrier)"" 공식 홈페이지 메뉴 가격",3,맛있는 빵집 곤트란쉐리에,https://an0709.tistory.com/28,an0709.tistory.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",1,The Bake - 제품,http://www.thebake.co.kr/product.html,www.thebake.co.kr,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",2,[더베이크] 전국의 더베이크 매장을 소개합니다 - 네이버 블로그,https://blog.naver.com/thebake_official/224040507695,blog.naver.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",3,"더베이크 - 서울, 강북구, 미아동 | 맛집검색 식신",https://www.siksinhot.com/P/1600753,www.siksinhot.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",4,"더베이크 서강대점 - 대흥역 베이커리, espresso 맛집 - 다이닝코드",https://www.diningcode.com/profile.php?rid=sBAsXUSD3z2h,www.diningcode.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",5,The Bake 더베이크 공식 인스타그램 (@thebake_breadncoffee) - Instagram,https://www.instagram.com/thebake_breadncoffee/,www.instagram.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",6,"더베이크 (The Bake) 크림치즈모카번, 토마토바질베이글 : 네이버 ...",https://blog.naver.com/iamiranda/223848599634,blog.naver.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",7,[The Bake ]더베이크 보이면 들어가야하는 가성비 좋은 빵집 맛집,https://garajin.tistory.com/entry/THE-BAKE-더베이크-보이면-들어가야하는-가성비-좋은-빵집-맛집,garajin.tistory.com,not_reviewed,not_reviewed,
BRD_20120100621,더베이크,"""더베이크"" 공식 홈페이지 메뉴 가격",8,더베이크 - 안양 베이커리 맛집 - 다이닝코드,https://www.diningcode.com/profile.php?rid=rduvQ44ziZ3Z,www.diningcode.com,not_reviewed,not_reviewed,
